Lake Name,Lake Acronym,Fish Number,Unique_ID,Mass (g),Sex,Need Redo,Source/Destination,,ToScan,Scanned? ,Returned? ,Neuromast Counts?,,
Wik,WK,001,WK.X24.001,0.74,F,,Source,,Y,Y - Bucket 01,Y,,Total Source:,172
Spirit,SL,001,SL.X24.001,3.17,F,,Source,,Y,Y - Bucket 01,Y,Y,Total Destination:,250
Spirit,SL,002,SL.X24.002,1.54,F,,Source,,Y,Y - Bucket 01,Y,,,
Spirit,SL,003,SL.X24.003,0.88,M,,Source,,Y,Y - Bucket 01,Y,,,
Spirit,SL,004,SL.X24.004,1.09,M,,Source,,Y,Y - Bucket 01,Y,,,
Spirit,SL,005,SL.X24.005,2.22,M,,Source,,Y,Y - Bucket 01,Y,,,
Spirit,SL,006,SL.X24.006,2.28,F,,Source,,Y,Y - Bucket 02,Y,,,
Spirit,SL,007,SL.X24.007,1.09,M,,Source,,Y,Y - Bucket 02,Y,Y,,
Spirit,SL,008,SL.X24.008,2.00,M,,Source,,Y,Y - Bucket 02,Y,Y,,
Spirit,SL,009,SL.X24.009,2.78,F,,Source,,Y,Y - Bucket 02,Y,Y,,
Spirit,SL,010,SL.X24.010,2.44,M,,Source,,Y,Y - Bucket 02,Y,,,
Spirit,SL,011,SL.X24.011,2.40,F,,Source,,Y,Y - Bucket 02,Y,,,
Spirit,SL,012,SL.X24.012,2.15,M,,Source,,Y,Y - Bucket 03,Y,,,
Spirit,SL,013,SL.X24.013,2.47,F,,Source,,Y,Y - Bucket 03,Y,,,
Spirit,SL,014,SL.X24.014,0.84,F,,Source,,Y,Y - Bucket 03,Y,,,
Spirit,SL,015,SL.X24.015,0.93,M,,Source,,Y,Y - Bucket 03,Y,,,
Spirit,SL,016,SL.X24.016,1.00,M,,Source,,Y,Y - Bucket 03,Y,,,
Spirit,SL,017,SL.X24.017,5.00,F,,Source,,Y,Y - Bucket 17,Y,,,
Spirit,SL,018,SL.X24.018,0.86,F,,Source,,Y,Y - Bucket 04,Y,,,
Spirit,SL,019,SL.X24.019,2.43,F,,Source,,Y,Y - Bucket 04,Y,,,
Spirit,SL,020,SL.X24.020,1.04,M,,Source,,Y,Y - Bucket 04,Y,,,
Spirit,SL,021,SL.X24.021,2.89,F,,Source,,,,,,,
Spirit,SL,022,SL.X24.022,2.70,F,,Source,,,,,,,
Spirit,SL,023,SL.X24.023,2.18,F,,Source,,,,,,,
Spirit,SL,024,SL.X24.024,2.65,F,,Source,,,,,,,
Spirit,SL,025,SL.X24.025,2.07,F,,Source,,,,,,,
Spirit,SL,026,SL.X24.026,1.38,F,,Source,,,,,,,
Spirit,SL,027,SL.X24.027,3.23,F,,Source,,,,,,,
Spirit,SL,028,SL.X24.028,1.12,M,,Source,,,,,,,
Spirit,SL,029,SL.X24.029,2.52,M,,Source,,,,,,,
Spirit,SL,030,SL.X24.030,1.51,F,,Source,,,,,,,
Spirit,SL,031,SL.X24.031,1.94,M,,Source,,,,,,,
